vehicle_make,vehicle_model,vehicle_mileage,vehicle_wheel,vehicle_type,vehicle_cylinder,vehicle_year,vehicle_fuel,vehicle_spec,vehicle_dealer,vehicle_price
BMW,iX,600,20,SUV/Crossover,None - Electric,2023,Electric,Import,Abu Dhabi Motors - BMW,420000
BMW,X6,511,22,SUV/Crossover,6,2023,Gasoline,GCC,Abu Dhabi Motors - BMW,395000
BMW,530,2500,20,Sedan,4,2023,Gasoline,GCC,Abu Dhabi Motors - BMW,255000
BMW,iX,4383,20,SUV/Crossover,None - Electric,2023,Electric,GCC,Abu Dhabi Motors - BMW,420000
BMW,X7,1500,22,SUV/Crossover,6,2023,Gasoline,GCC,Abu Dhabi Motors - BMW,460000
BMW,540,2560,20,SUV/Crossover,4,2023,Gasoline,GCC,Abu Dhabi Motors - BMW,325000
Mercedes-Benz,GLE 350,46500,20,SUV/Crossover,4,2020,Gasoline,Import,Private Seller,190000
Mercedes-Benz,A 35 AMG,35000,18,Sedan,4,2020,Gasoline,Import,Al Kady Trading,136000
Mercedes-Benz,S 400,24000,19,Sedan,6,2017,Gasoline,Import,Ryan Motors,150000
Mercedes-Benz,S 500,62000,19,Sedan,8,2021,Gasoline,Import,Al Qayed Used Cars,419000
Ford,Eco Sport,99000,15,SUV/Crossover,3,2019,Gasoline,GCC,Al Nasr Used cars,45000
BMW,318,150000,16,Sedan,3,2018,Gasoline,GCC,Al Nasr Used cars,55000
Lamborghini,Urus,55000,19,SUV/Crossover,8,2020,Gasoline,Import,Top Ride Motors LLC,870000
Ford,Figo,119000,14,Sedan,3,2020,Gasoline,GCC,Al Nasr Used cars,27500
Land Rover,Range Rover Vogue Autobiography,57000,22,SUV/Crossover,8,2018,Gasoline,Import,Alsafi Motors,269000
Infiniti,Q50,145000,18,Sedan,4,2019,Gasoline,GCC,Al-Hashal Used Car Exhibition,75000
BMW,430,550,19,Sedan,4,2023,Gasoline,GCC,Abu Dhabi Motors - BMW,250000
Land Rover,Range Rover Vogue Autobiography,12190,21,SUV/Crossover,6,2020,Diesel,Import,Story Auto Middle East FZE,390000
Land Rover,Range Rover Sport SVR,17537,21,SUV/Crossover,8,2021,Gasoline,Import,Story Auto Middle East FZE,360000
Hyundai,Sonata,117000,16,Sedan,4,2017,Gasoline,GCC,Drive Motors Showroom L.L.C,48950
Dodge,Challenger,140000,20,Coupe,6,2017,Gasoline,Import,Kandy Cars,64000
Infiniti,QX80,24000,17,SUV/Crossover,8,2021,Gasoline,GCC,Linda Cars,239000
Land Rover,Range Rover Sport HSE,69000,17,SUV/Crossover,8,2019,Gasoline,GCC,Linda Cars,299000
Mercedes-Benz,GLE 43 AMG,16000,22,SUV/Crossover,6,2018,Gasoline,Import,Luxury Lounge,199000
Mercedes-Benz,GLS 450,39700,23,SUV/Crossover,6,2021,Gasoline,GCC,GARGASH ENTERPRISES LLC,404550
BMW,X5,110000,20,SUV/Crossover,6,2017,Gasoline,Import,Private Seller,98000
Nissan,Altima,44000,17,Sedan,4,2020,Gasoline,Import,Private Seller,58000
Ford,Raptor,168000,18,Pick Up Truck,6,2018,Gasoline,GCC,Private Seller,169000
Nissan,Urvan,172572,16,Van,4,2017,Gasoline,GCC,Vesla Motors L.L.C,42500
Ford,Eco Sport,112218,16,SUV/Crossover,4,2019,Gasoline,GCC,Vesla Motors L.L.C,39800
Nissan,Sunny,174331,16,Sedan,4,2019,Gasoline,GCC,Vesla Motors L.L.C,27900
Nissan,Sunny,149707,16,Sedan,4,2019,Gasoline,GCC,Vesla Motors L.L.C,28500
Nissan,Urvan,156568,16,Van,4,2018,Gasoline,GCC,Vesla Motors L.L.C,49900
Mini,Cooper S Countryman,109323,19,SUV/Crossover,4,2018,Gasoline,Import,Vesla Motors L.L.C,89700
Audi,A3,38836,18,Sedan,4,2018,Gasoline,Import,Vesla Motors L.L.C,76800
Toyota,Fortuner,63638,19,SUV/Crossover,4,2019,Gasoline,GCC,Vesla Motors L.L.C,99800
Ford,Escape,88411,17,Sedan,4,2019,Gasoline,GCC,Vesla Motors L.L.C,58900
Ford,Ranger,135113,16,Pick Up Truck,4,2017,Gasoline,GCC,Vesla Motors L.L.C,43500
Nissan,Navara,159874,16,Pick Up Truck,4,2018,Gasoline,GCC,Vesla Motors L.L.C,43800
Nissan,Sunny,174183,16,Sedan,4,2019,Gasoline,GCC,Vesla Motors L.L.C,27900
Ford,Escape,87520,17,SUV/Crossover,4,2019,Gasoline,GCC,Vesla Motors L.L.C,68500
Ford,Escape,118975,17,SUV/Crossover,4,2018,Gasoline,GCC,Vesla Motors L.L.C,53900
Ford,Eco Sport,99024,16,SUV/Crossover,4,2019,Gasoline,GCC,Vesla Motors L.L.C,43900
Mazda,3,98586,16,Sedan,4,2019,Gasoline,GCC,Vesla Motors L.L.C,53800
Nissan,Patrol,128369,19,SUV/Crossover,8,2020,Gasoline,GCC,Vesla Motors L.L.C,214000
Ford,Expedition,98285,19,SUV/Crossover,6,2018,Gasoline,GCC,Vesla Motors L.L.C,108500
Ford,Edge,61068,18,SUV/Crossover,4,2019,Gasoline,GCC,Vesla Motors L.L.C,89600
Nissan,Sunny,47050,15,Sedan,4,2019,Gasoline,GCC,Vesla Motors L.L.C,37800
Ford,Transit,189754,17,Van,4,2017,Gasoline,GCC,Vesla Motors L.L.C,51800
Hyundai,Santa Fe,119206,19,SUV/Crossover,6,2019,Gasoline,GCC,Vesla Motors L.L.C,79800
Ford,Eco Sport,91239,16,SUV/Crossover,4,2019,Gasoline,GCC,Vesla Motors L.L.C,48900
Porsche,Cayenne,18000,21,SUV/Crossover,6,2019,Gasoline,GCC,NXT Luxury Showroom,273900
Porsche,Macan,83325,18,SUV/Crossover,4,2020,Gasoline,GCC,NXT Luxury Showroom,209900
Nissan,Kicks,104000,17,SUV/Crossover,4,2018,Gasoline,GCC,Alma Motors,44500
BMW,M5,60000,21,Sedan,8,2019,Gasoline,Import,Alma Motors,269500
Ford,Edge,58645,18,SUV/Crossover,4,2019,Gasoline,GCC,Vesla Motors L.L.C,89600
Ford,Expedition,169455,19,SUV/Crossover,6,2019,Gasoline,GCC,Vesla Motors L.L.C,107500
Ford,Edge,58218,18,SUV/Crossover,4,2019,Gasoline,GCC,Vesla Motors L.L.C,83700
Nissan,Navara,115771,16,Pick Up Truck,4,2020,Gasoline,GCC,Vesla Motors L.L.C,56700
Ford,Eco Sport,139874,16,SUV/Crossover,4,2019,Gasoline,GCC,Vesla Motors L.L.C,44900
Mercedes-Benz,S 500,2900,22,Sedan,6,2022,Gasoline,GCC,Super Motor,582000
Mercedes-Benz,S 560,45000,19,Sedan,8,2018,Gasoline,Import,Nova Luxury Cars Trading LLC,245000
Mercedes-Benz,S 500,2000,18,Sedan,6,2021,Gasoline,Import,Nova Luxury Cars Trading LLC,795000
Peugeot,2008,50536,16,Hatchback,4,2022,Gasoline,GCC,Swaidan Motors,66900
Toyota,Prado,46849,18,SUV/Crossover,6,2020,Gasoline,GCC,Swaidan Motors,169900
Nissan,X-Trail,80851,17,SUV/Crossover,4,2020,Gasoline,GCC,Swaidan Motors,84900
Land Rover,Range Rover Vogue HSE,30000,22,SUV/Crossover,6,2019,Gasoline,Import,Iqra Used Cars TR. EXHB. LLC,238000
Mercedes-Benz,A 220,60000,18,Sedan,4,2020,Gasoline,Import,Iqra Used Cars TR. EXHB. LLC,110000
Mitsubishi,Pajero,76894,17,SUV/Crossover,6,2019,Gasoline,GCC,Swaidan Motors,79900
Nissan,Altima,108864,17,Sedan,4,2018,Gasoline,GCC,Swaidan Motors,59900
Mercedes-Benz,S 560,50000,19,Sedan,8,2018,Gasoline,GCC,Oasis Cars,319000
Mercedes-Benz,S 450,92000,20,Sedan,6,2018,Gasoline,GCC,Oasis Cars,249000
Mini,Cooper S,145127,18,Hatchback,4,2018,Gasoline,GCC,New Cars,68000
Nissan,Sunny,69285,16,Sedan,4,2019,Gasoline,GCC,Vesla Motors L.L.C,35800
Ford,Transit,299784,17,Van,6,2018,Gasoline,GCC,Vesla Motors L.L.C,74500
Mercedes-Benz,AMG GT,98075,20,Coupe,8,2017,Gasoline,GCC,Vesla Motors L.L.C,358000
Nissan,Navara,132231,16,Pick Up Truck,4,2018,Gasoline,GCC,Vesla Motors L.L.C,38500
Ford,Escape,87253,17,SUV/Crossover,4,2017,Gasoline,GCC,Vesla Motors L.L.C,47900
Ford,Escape,152207,17,SUV/Crossover,4,2019,Gasoline,GCC,Vesla Motors L.L.C,47500
Ford,Expedition,106574,19,SUV/Crossover,6,2018,Gasoline,GCC,Vesla Motors L.L.C,108500
Mercedes-Benz,GLC 300,19500,19,SUV/Crossover,4,2021,Gasoline,Import,Wahat Al Sharq,208000
Ford,Explorer,56864,17,SUV/Crossover,6,2017,Gasoline,GCC,CARS24,74999
Ford,Edge,82673,19,SUV/Crossover,4,2020,Gasoline,GCC,Vesla Motors L.L.C,92900
Ford,Figo,111583,14,Sedan,4,2019,Gasoline,GCC,Vesla Motors L.L.C,25900
Nissan,Urvan,179207,16,Van,4,2019,Gasoline,GCC,Vesla Motors L.L.C,74800
Ford,Escape,91213,17,SUV/Crossover,4,2019,Gasoline,GCC,Vesla Motors L.L.C,55800
Ford,Escape,145621,17,SUV/Crossover,4,2020,Gasoline,GCC,Vesla Motors L.L.C,62500
Ford,Figo,96797,15,Sedan,4,2019,Gasoline,GCC,Vesla Motors L.L.C,27900
Ferrari,812 GTS,2574,20,Convertible,12,2021,Gasoline,GCC,Vesla Motors L.L.C,1995000
Ford,Escape,79854,17,SUV/Crossover,4,2019,Gasoline,GCC,Vesla Motors L.L.C,59800
Ford,Escape,83278,17,SUV/Crossover,4,2019,Gasoline,GCC,Vesla Motors L.L.C,59800
Ford,Ranger,168155,18,Pick Up Truck,4,2017,Gasoline,GCC,Vesla Motors L.L.C,45800
Ford,Focus,145670,16,Sedan,4,2018,Gasoline,GCC,Vesla Motors L.L.C,34900
Ford,Eco Sport,189530,16,SUV/Crossover,4,2019,Gasoline,GCC,Vesla Motors L.L.C,38900
Ford,Eco Sport,162815,16,SUV/Crossover,4,2020,Gasoline,GCC,Vesla Motors L.L.C,42800
Ford,Figo,103471,14,Sedan,4,2019,Gasoline,GCC,Vesla Motors L.L.C,26800
Lamborghini,Urus,14000,23,SUV/Crossover,8,2021,Gasoline,Import,Prestige Motors L.L.C,1179999
Audi,S3,33000,18,Sedan,4,2020,Gasoline,GCC,Oasis Cars,159000
BMW,750,43000,19,Sedan,8,2020,Gasoline,GCC,Oasis Cars,329000
Mercedes-Benz,GLE 43 AMG,98000,19,SUV/Crossover,6,2017,Gasoline,GCC,Oasis Cars,179000
Dodge,RAM,95000,18,Pick Up Truck,8,2020,Gasoline,GCC,Oasis Cars,125000
Porsche,911,70000,19,Coupe,6,2017,Gasoline,GCC,Oasis Cars,299000
Lexus,RX 350,62000,18,SUV/Crossover,6,2017,Gasoline,Import,Al Mansoura Used Cars Trading L.L.C,115000
Ford,Eco Sport,122745,16,SUV/Crossover,4,2018,Gasoline,GCC,Vesla Motors L.L.C,38500
Nissan,Navara,144061,16,Pick Up Truck,4,2019,Gasoline,GCC,Vesla Motors L.L.C,57800
Mercedes-Benz,E 350,21000,20,Sedan,4,2021,Gasoline,Import,Al Safwa Used Car Trading,229000
Land Rover,Range Rover Velar,47000,21,SUV/Crossover,4,2020,Gasoline,GCC,Milan Motors LLC,290000
Toyota,Fortuner,115106,18,SUV/Crossover,4,2019,Gasoline,GCC,Vesla Motors L.L.C,92800
Ford,Transit,166197,18,Van,6,2017,Gasoline,GCC,Vesla Motors L.L.C,54500
Mercedes-Benz,G 63 AMG,78000,20,SUV/Crossover,8,2021,Gasoline,GCC,Apex Platinum,825000
Nissan,Urvan,113953,16,Van,4,2018,Diesel,GCC,Vesla Motors L.L.C,47600
Ford,Eco Sport,153649,16,SUV/Crossover,4,2018,Gasoline,GCC,Vesla Motors L.L.C,38700
Ford,Transit,216479,16,Van,4,2019,Gasoline,GCC,Vesla Motors L.L.C,54500
Mercedes-Benz,G 500,30000,20,SUV/Crossover,8,2020,Gasoline,Import,S Line Motors LLC,525000
Nissan,Kicks,73920,16,SUV/Crossover,4,2020,Gasoline,GCC,Swaidan Motors,54900
Peugeot,3008,60923,18,SUV/Crossover,4,2020,Gasoline,GCC,Swaidan Motors,94900
Mazda,CX-9,47453,18,SUV/Crossover,4,2021,Gasoline,GCC,Swaidan Motors,119900
BMW,318,58855,17,Sedan,4,2018,Gasoline,GCC,Swaidan Motors,89900
Infiniti,Q50,53357,18,Sedan,6,2019,Gasoline,GCC,Swaidan Motors,94900
Volkswagen,Golf,82849,18,Hatchback,4,2019,Gasoline,GCC,Swaidan Motors,99900
Hyundai,Elantra,69130,15,Sedan,4,2020,Gasoline,GCC,Swaidan Motors,54900
Nissan,Kicks,114278,16,SUV/Crossover,4,2019,Gasoline,GCC,Swaidan Motors,49900
Mitsubishi,Pajero,27750,17,SUV/Crossover,6,2020,Gasoline,GCC,CARS24,81099
Ford,Expedition,106354,19,SUV/Crossover,6,2019,Gasoline,GCC,Vesla Motors L.L.C,124800
Chevrolet,Aveo,54469,17,Sedan,4,2019,Gasoline,GCC,CARS24,37599
Ford,Eco Sport,134866,17,SUV/Crossover,4,2018,Gasoline,GCC,Vesla Motors L.L.C,48500
Nissan,Patrol,47456,17,SUV/Crossover,6,2019,Gasoline,GCC,CARS24,138799
Mazda,6,67000,17,Sedan,4,2020,Gasoline,GCC,Oasis Cars,65000
Mazda,CX-3,64000,17,SUV/Crossover,4,2019,Gasoline,GCC,Oasis Cars,59000
Mercedes-Benz,E 300,11000,19,Sedan,4,2022,Gasoline,GCC,Oasis Cars,309000
Porsche,Panamera,20000,19,Sedan,6,2021,Gasoline,GCC,Oasis Cars,399000
Nissan,Patrol,132000,20,SUV/Crossover,6,2019,Gasoline,GCC,Asan Motors,128000
Nissan,Patrol,136442,17,SUV/Crossover,8,2018,Gasoline,GCC,CARS24,152999
Land Rover,Range Rover Autobiography,61000,22,SUV/Crossover,6,2017,Gasoline,Import,Asan Motors,155000
Toyota,Prado,87439,17,SUV/Crossover,6,2019,Gasoline,GCC,CARS24,146399
Hyundai,Tucson,108555,17,SUV/Crossover,4,2020,Gasoline,GCC,CARS24,70599
Toyota,RAV 4,125072,17,SUV/Crossover,4,2018,Gasoline,GCC,CARS24,80399
Mercedes-Benz,GLC 300,60000,18,SUV/Crossover,4,2019,Gasoline,Import,Al Faisal Motors LLC,122000
Kia,Picanto,103529,14,Hatchback,4,2019,Gasoline,GCC,Swaidan Motors,29900
Peugeot,3008,25795,17 / 18,SUV/Crossover,4,2022,Hybrid,GCC,Swaidan Motors,149900
Hyundai,Tucson,89802,17,SUV/Crossover,4,2019,Gasoline,GCC,CARS24,69699
Mitsubishi,Pajero,71585,17,SUV/Crossover,6,2020,Gasoline,GCC,CARS24,93099
Toyota,Yaris,39572,17,Sedan,4,2020,Gasoline,GCC,CARS24,52499
Land Rover,Range Rover Vogue Autobiography,74160,21,SUV/Crossover,8,2020,Gasoline,GCC,NXT Luxury Showroom,350000
Land Rover,Range Rover Evoque,67000,19,SUV/Crossover,4,2020,Gasoline,GCC,Oasis Cars,179000
Nissan,Navara,198000,16,Pick Up Truck,4,2017,Gasoline,GCC,Oasis Cars,36500
BMW,440,81000,18,Coupe,6,2018,Gasoline,GCC,Oasis Cars,139000
BMW,X5,6000,20,SUV/Crossover,6,2022,Gasoline,GCC,Oasis Cars,379000
Nissan,Navara,203000,16,Pick Up Truck,4,2017,Gasoline,GCC,Oasis Cars,42000
Land Rover,Range Rover Sport HSE,900,22,SUV/Crossover,6,2022,Gasoline,GCC,Oasis Cars,419000
Dodge,RAM,77000,16,Pick Up Truck,4,2017,Gasoline,GCC,Oasis Cars,31000
Kia,K5,68000,16,Sedan,4,2021,Gasoline,Import,Al Mansoura Used Cars Trading L.L.C,83000
Mercedes-Benz,C 300,22000,18,Sedan,4,2020,Gasoline,Import,MBA Motors,139000
BMW,530,60000,18,Sedan,4,2018,Gasoline,Import,Al Faisal Motors LLC,115000
Land Rover,Range Rover Sport HSE,24000,21,SUV/Crossover,6,2020,Gasoline,Import,Mars Automobiles Trading L.L.C,270000
Land Rover,Range Rover Sport HST,34000,22,SUV/Crossover,6,2020,Gasoline,Import,Mars Automobiles Trading L.L.C,270000
Kia,K5,16000,17,Sedan,4,2022,Gasoline,Import,Al Mansoura Used Cars Trading L.L.C,86000
Kia,Sportage,48000,18,SUV/Crossover,4,2018,Gasoline,Import,Asan Motors,53000
Jeep,Grand Cherokee,66800,17,SUV/Crossover,6,2017,Gasoline,Import,Asan Motors,59500
Toyota,Hiace,125184,16,Van,4,2018,Gasoline,GCC,Vesla Motors L.L.C,79900
Land Rover,Defender,1277,20,SUV/Crossover,6,2023,Gasoline,Import,Story Auto Middle East FZE,420000
Ford,Ranger,138465,18,Pick Up Truck,4,2017,Gasoline,GCC,Vesla Motors L.L.C,47800
Ford,Transit,222383,15,Van,4,2017,Gasoline,GCC,Vesla Motors L.L.C,43500
Nissan,Urvan,119037,16,Van,4,2020,Gasoline,GCC,Vesla Motors L.L.C,49800
Ford,Figo,99784,16,Sedan,4,2019,Gasoline,GCC,Vesla Motors L.L.C,26800
Honda,Civic,80000,17,Sedan,4,2020,Gasoline,GCC,Al Mansoura Used Cars Trading L.L.C,76000
Mitsubishi,Pajero,35439,17,SUV/Crossover,6,2020,Gasoline,GCC,CARS24,79899
Nissan,Sunny,269167,16,Sedan,4,2019,Gasoline,GCC,Vesla Motors L.L.C,24900
Mercedes-Benz,G 63 AMG,100050,20,SUV/Crossover,8,2017,Gasoline,GCC,RMA Used Cars L.L.C,319000
Mitsubishi,Pajero,45157,17,SUV/Crossover,6,2020,Gasoline,GCC,CARS24,79899
Rolls-Royce,Wraith,49651,21,Coupe,12,2018,Gasoline,GCC,Vesla Motors L.L.C,969000
Ford,Focus,85683,17,Hatchback,4,2017,Gasoline,GCC,CARS24,37299
Mitsubishi,Attrage,40092,17,Sedan,3,2022,Gasoline,GCC,CARS24,48199
Hyundai,Elantra,28406,17,Sedan,4,2023,Gasoline,GCC,CARS24,65499
Volkswagen,Golf,33789,17,Hatchback,4,2021,Gasoline,GCC,CARS24,164699
BMW,X2,38687,17,SUV/Crossover,4,2020,Gasoline,GCC,CARS24,116499
Nissan,X-Trail,115000,17,SUV/Crossover,4,2018,Gasoline,GCC,Perfect Automobiles Trading L.L.C,67000
Nissan,X-Trail,143000,17,SUV/Crossover,4,2019,Gasoline,GCC,Perfect Automobiles Trading L.L.C,67500
Ford,Transit,199074,17,Van,4,2017,Gasoline,GCC,Vesla Motors L.L.C,49900
Jeep,Grand Cherokee,55000,19,SUV/Crossover,6,2020,Gasoline,Import,Asan Motors,78000
Toyota,Prado,64733,17,SUV/Crossover,4,2019,Gasoline,GCC,CARS24,132799
Nissan,Kicks,31652,17,SUV/Crossover,4,2023,Gasoline,GCC,CARS24,72199
Porsche,911 GT3,228,20,Coupe,6,2022,Gasoline,GCC,CV Auto,899000
Ford,Ranger,113043,16,Pick Up Truck,4,2017,Diesel,GCC,Vesla Motors L.L.C,52500
Ford,Ranger,138341,16,Pick Up Truck,4,2017,Gasoline,GCC,Vesla Motors L.L.C,43500
Ford,Transit,232987,16,Van,4,2017,Diesel,GCC,Vesla Motors L.L.C,43500
Nissan,Urvan,108534,16,Van,4,2020,Gasoline,GCC,Vesla Motors L.L.C,67500
Rolls-Royce,Ghost,1914,21,Sedan,12,2022,Gasoline,GCC,CV Auto,1589000
Chevrolet,Camaro,96625,20,Convertible,4,2019,Gasoline,Import,Kandy Cars,72000
Ford,Mustang,14017,20,Coupe,4,2022,Gasoline,Import,Kandy Cars,97000
Ford,Mustang,160121,20,Convertible,8,2018,Gasoline,Import,Kandy Cars,98000
Chevrolet,Camaro,34000,20,Convertible,8,2019,Gasoline,Import,Kandy Cars,100000
Volkswagen,Tiguan,75548,17,SUV/Crossover,4,2019,Gasoline,GCC,CARS24,125999
Nissan,Urvan,189652,16,Van,4,2017,Gasoline,GCC,Vesla Motors L.L.C,47500
Ford,Transit,177354,18,Van,4,2018,Diesel,GCC,Vesla Motors L.L.C,49900
Volkswagen,Tiguan,24912,17,SUV/Crossover,4,2022,Gasoline,GCC,CARS24,109999
Ford,Mustang,102600,20,Coupe,8,2018,Gasoline,Import,Kandy Cars,88000
Mercedes-Benz,GLS 500,155000,20,SUV/Crossover,8,2018,Gasoline,GCC,Ahmad Al Khodari Used Cars Exhb L.L.C,176000
Maserati,Quattroporte,85000,20,Sedan,6,2017,Gasoline,GCC,Ahmad Al Khodari Used Cars Exhb L.L.C,119000
Mercedes-Benz,C 300 Coupe,86000,18,Coupe,4,2017,Gasoline,Import,Al Faeq Used Cars,84000
Audi,Q8,36000,19,SUV/Crossover,4,2020,Diesel,Import,Wahat Al Sharq,230000
Nissan,Urvan,170021,16,Van,4,2017,Gasoline,GCC,Vesla Motors L.L.C,48900
Renault,Koleos,86887,17,SUV/Crossover,4,2018,Gasoline,GCC,CARS24,61899
Honda,HR-V,47293,17,SUV/Crossover,4,2021,Gasoline,GCC,CARS24,71699
Nissan,Kicks,54529,17,SUV/Crossover,4,2019,Gasoline,GCC,CARS24,65299
Toyota,Corolla,88442,17,Sedan,4,2020,Gasoline,GCC,CARS24,71399
Nissan,Xterra,47051,17,SUV/Crossover,4,2021,Gasoline,GCC,CARS24,95599
Infiniti,Q50,71491,17,Sedan,6,2020,Gasoline,GCC,CARS24,107111
Honda,HR-V,66286,17,SUV/Crossover,4,2020,Gasoline,GCC,CARS24,69111
Mercedes-Benz,C 200,42933,17,Sedan,4,2021,Gasoline,GCC,CARS24,192699
Nissan,Kicks,110440,17,SUV/Crossover,4,2017,Gasoline,GCC,CARS24,54699
Nissan,Altima,99505,17,Sedan,4,2020,Gasoline,GCC,CARS24,70999
Nissan,Kicks,56640,17,SUV/Crossover,4,2019,Gasoline,GCC,CARS24,58399
Nissan,Patrol,33986,17,SUV/Crossover,8,2020,Gasoline,GCC,CARS24,237333
Nissan,Patrol,111315,17,SUV/Crossover,6,2019,Gasoline,GCC,CARS24,164111
Nissan,Patrol,48753,17,SUV/Crossover,6,2020,Gasoline,GCC,CARS24,228555
Nissan,Patrol,84070,17,SUV/Crossover,8,2020,Gasoline,GCC,CARS24,239111
Nissan,Patrol,64901,17,SUV/Crossover,8,2021,Gasoline,GCC,CARS24,245222
Nissan,Patrol,84561,17,SUV/Crossover,8,2020,Gasoline,GCC,CARS24,237111
Renault,Symbol,55722,17,Sedan,4,2017,Gasoline,GCC,CARS24,34111
Mitsubishi,Attrage,36922,17,Sedan,3,2021,Gasoline,GCC,CARS24,44699
Nissan,Kicks,79573,17,SUV/Crossover,4,2020,Gasoline,GCC,CARS24,60499
Infiniti,Q50,40998,17,Sedan,6,2021,Gasoline,GCC,CARS24,115499
Nissan,Kicks,62174,17,SUV/Crossover,4,2020,Gasoline,GCC,CARS24,59199
Nissan,X-Trail,153510,17,SUV/Crossover,4,2020,Gasoline,GCC,CARS24,67599
Jaguar,E-Pace,79617,17,SUV/Crossover,4,2019,Gasoline,GCC,CARS24,136899
Nissan,Kicks,24438,17,SUV/Crossover,4,2020,Gasoline,GCC,CARS24,68099
Nissan,Kicks,83454,17,SUV/Crossover,4,2019,Gasoline,GCC,CARS24,58899
Nissan,Kicks,67105,17,SUV/Crossover,4,2018,Gasoline,GCC,CARS24,55899
Toyota,Land Cruiser,95033,17,SUV/Crossover,8,2018,Gasoline,GCC,CARS24,210499
Jeep,Grand Cherokee,70272,17,SUV/Crossover,6,2018,Gasoline,GCC,CARS24,126899
Mini,Cooper Countryman,49436,17,SUV/Crossover,4,2020,Gasoline,GCC,CARS24,141099
Infiniti,Q30,10976,17,Hatchback,4,2019,Gasoline,GCC,CARS24,95299
